Qty,Value,Package,Part / spec,Refs,Subsystem,Note
1,100uF 35V,radial D8.0 / P3.50,100 uF 35 V radial,C1,Power,input bulk on the battery side of D3
1,2.2uF 50V,1210,,C3,Power,X7R 50 V — buck input bypass
2,22uF 25V,1210,,C5 C6,Power,
1,2200uF 35V,radial D12.5 / P5.00,2200 uF 25 V radial,C9,Power,"crank hold-up: with the backlight shed it carries the logic for >50 ms down to the 6.5 V UVLO, so the MCU does not reset while the starter drags the battery down"
1,SMCJ16CA,SMC,SMCJ16CA,D1,Power,"bidirectional input TVS, 12 V system — clamps ~26 V"
1,BZT52C12,SOD-123,BZT52C12,D2,Power,"gate zener, holds V_GS inside the P-FET rating"
1,SMBJ16CA,SMB,SMBJ16CA,D80,Power,"bidirectional, +12V_SW local clamp"
1,3A blade,mini blade fuse holder,Mini blade fuse 3 A + Keystone 3568 holder,F1,Power,board draws ~0.45 A; 3 A clears an internal fault that a 5 A blade would not
1,PTC 1.1A 72V,"radial PPTC, 5.1mm pitch",RXEF110,F2,Power,"1.1 A hold / 2.2 A trip PPTC, radial. Feeds only the six relay coils (200 mA) and the D+ excitation (100 mA) — field loads are fed by the installer through J8 pin 1, so no field current crosses this board"
1,600R@100MHz 3A,0805,BLM21PG600SN1,FB1,Power,"ferrite bead 0805, 3 A — series in the +12 V feed"
1,Screw_Terminal_BATT,screw terminal 5.08mm x02 (power),,J1,Power,
1,33uH 2A shielded,12x12x8 shielded,"33 uH 2 A shielded, 12x12",L2,Power,e.g. Wurth WE-PD 7447779233
1,SQD50P06-15L,DPAK,SQD50P06-15L,Q1,Power,"DPAK P-FET, reverse-polarity"
1,30.1k 1%,0603,,R3,Power,"buck UVLO: turn-on ≈ 6.5 V, low enough to ride a 12 V crank dip (30.1k 1% (UVLO 6.5V))"
1,41.2k 1%,0603,,R4,Power,41.2k 1% (RON 300kHz)
1,38.3k 1%,0603,,R5,Power,
1,12.1k 1%,0603,,R6,Power,
1,LM5164DDA-Q1,HSOP-8 (thermal pad),LM5164DDA-Q1,U1,Power,"100 V synchronous buck, HSOP-8 with thermal pad"
1,TLV75533,SOT-23-5,TLV75533PDBVR,U2,Power,"3.3 V 500 mA LDO, SOT-23-5 (TLV75533 (500mA))"
1,Screw_Terminal_SENDERS,screw terminal 5.08mm x04 (signal),,J3,Analog inputs,
1,Screw_Terminal_DPLUS,screw terminal 5.08mm x02 (signal),,J13,Analog inputs,
